Open Finance Brasil - Diretório de Participantes (producao)
Fonte: https://data.directory.openbankingbrasil.org.br/participants
Snapshot obtido em: 2026-07-13
Total de organizacoes: 107

================================================================================
LISTA COMPLETA - todas as organizacoes do diretorio (ordem alfabetica)
Colunas: ISPB (RegistrationId) | Status | OrganisationName
(sem ISPB) | Active     | QUERO-QUERO VERDECARD INSTITUICAO DE PAGAMENTO S.A.
(sem ISPB) | Active     | REALIZE SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.
(sem ISPB) | Active     | RECARGAPAY INSTITUICAO DE PAGAMENTO LTDA.
(sem ISPB) | Active     | REVOLUT SOCIEDADE DE CREDITO DIRETO S.A.
51014223   | Active     | SANTANDER CCVM S.A.
(sem ISPB) | Active     | Santander CTVM S.A.
(sem ISPB) | Active     | SEFER INVESTIMENTOS DTVM LTDA
(sem ISPB) | Active     | SHOPEE
02398976   | Active     | SISPRIME DO BRASIL - COOPERATIVA DE CREDITO
16501555   | Active     | STONE PAGAMENTOS S.A.
37241230   | Active     | SUMUP SCD S.A.
(sem ISPB) | Active     | Swap Meios de Pagamentos Instituicao de Pagamento S.A.
